2024-11-18 02:13:26,503 p=46913 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 14:06:12,279 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:12,290 p=63510 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 14:06:12,835 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:12,843 p=63510 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 14:06:12,850 p=63510 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 14:06:13,880 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:13,885 p=63510 u=jason n=ansible | TASK [mysql : Install MySQL Server] *************************************************************************************************************************************
2024-11-18 14:06:14,993 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:14,999 p=63510 u=jason n=ansible | TASK [mysql : Copy Override Config] *************************************************************************************************************************************
2024-11-18 14:06:15,706 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:15,712 p=63510 u=jason n=ansible | TASK [mysql : Enable and Start MySQL Server] ****************************************************************************************************************************
2024-11-18 14:06:16,247 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:16,253 p=63510 u=jason n=ansible | TASK [mysql : MySQL Database] *******************************************************************************************************************************************
2024-11-18 14:06:16,767 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:16,773 p=63510 u=jason n=ansible | TASK [mysql : Create MySQL User] ****************************************************************************************************************************************
2024-11-18 14:06:17,386 p=63510 u=jason n=ansible | [WARNING]: Option column_case_sensitive is not provided. The default is now false, so the column's name will be uppercased. The default will be changed to true in
community.mysql 4.0.0.

2024-11-18 14:06:17,386 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:17,395 p=63510 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 14:06:17,403 p=63510 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 14:06:18,429 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:18,434 p=63510 u=jason n=ansible | TASK [agama : make user Agama] ******************************************************************************************************************************************
2024-11-18 14:06:18,971 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:18,978 p=63510 u=jason n=ansible | TASK [agama : Agama is owner now] ***************************************************************************************************************************************
2024-11-18 14:06:19,363 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:19,369 p=63510 u=jason n=ansible | TASK [agama : download python3 flask sql] *******************************************************************************************************************************
2024-11-18 14:06:20,497 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:20,503 p=63510 u=jason n=ansible | TASK [agama : Download agama.py] ****************************************************************************************************************************************
2024-11-18 14:06:21,279 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:21,288 p=63510 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 14:06:21,295 p=63510 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 14:06:22,330 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:22,335 p=63510 u=jason n=ansible | TASK [uwsgi : Install uWSGI] ********************************************************************************************************************************************
2024-11-18 14:06:23,414 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:23,421 p=63510 u=jason n=ansible | TASK [uwsgi : Configure host uwsgi] *************************************************************************************************************************************
2024-11-18 14:06:24,145 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:24,149 p=63510 u=jason n=ansible | TASK [uwsgi : Enable and start uWSGI service] ***************************************************************************************************************************
2024-11-18 14:06:24,709 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:24,716 p=63510 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 14:06:24,723 p=63510 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 14:06:25,782 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
